Date,Ticker,Adj Close,Close,High,Low,Open,Volume,7日間移動平均,10日間移動平均,20日間移動平均,30日間移動平均,50日間移動平均,100日間移動平均
2023-08-15 00:00:00+00:00,7203.T,2329.956787109375,2419.0,2438.0,2414.5,2433.0,12578800,,,,,,
2023-08-16 00:00:00+00:00,7203.T,2283.2421875,2370.5,2412.5,2368.0,2400.0,22466200,,,,,,
2023-08-17 00:00:00+00:00,7203.T,2289.502685546875,2377.0,2379.0,2332.5,2360.5,18693200,,,,,,
2023-08-18 00:00:00+00:00,7203.T,2262.533447265625,2349.0,2368.0,2334.5,2348.5,20054000,,,,,,
2023-08-21 00:00:00+00:00,7203.T,2269.75732421875,2356.5,2376.0,2348.0,2349.5,14606100,,,,,,
2023-08-22 00:00:00+00:00,7203.T,2327.548828125,2416.5,2420.0,2383.0,2386.0,18256500,,,,,,
2023-08-23 00:00:00+00:00,7203.T,2321.76953125,2410.5,2411.0,2389.5,2393.0,15164600,2385.5714285714284,,,,,
2023-08-24 00:00:00+00:00,7203.T,2311.656005859375,2400.0,2412.5,2394.0,2411.5,16406900,2382.8571428571427,,,,,
2023-08-25 00:00:00+00:00,7203.T,2306.840087890625,2395.0,2402.0,2377.0,2380.0,15384300,2386.3571428571427,,,,,
2023-08-28 00:00:00+00:00,7203.T,2346.8125,2436.5,2447.0,2420.0,2421.5,18256100,2394.8571428571427,2393.05,,,,
2023-08-29 00:00:00+00:00,7203.T,2341.99658203125,2431.5,2451.0,2416.5,2446.5,17541400,2406.6428571428573,2394.3,,,,
2023-08-30 00:00:00+00:00,7203.T,2366.076416015625,2456.5,2463.5,2440.0,2449.5,19036300,2420.9285714285716,2402.9,,,,
2023-08-31 00:00:00+00:00,7203.T,2422.423095703125,2515.0,2524.0,2463.0,2465.0,39487900,2435.0,2416.7,,,,
2023-09-01 00:00:00+00:00,7203.T,2426.757568359375,2519.5,2525.0,2483.0,2485.0,23445600,2450.5714285714284,2433.75,,,,
2023-09-04 00:00:00+00:00,7203.T,2501.88623046875,2597.5,2599.5,2539.0,2540.0,33250800,2478.785714285714,2457.85,,,,
2023-09-05 00:00:00+00:00,7203.T,2493.698974609375,2589.0,2609.5,2564.0,2600.0,28061100,2506.5,2475.1,,,,
2023-09-06 00:00:00+00:00,7203.T,2553.4169921875,2651.0,2664.0,2605.5,2607.0,31630100,2537.1428571428573,2499.15,,,,
2023-09-07 00:00:00+00:00,7203.T,2539.93212890625,2637.0,2671.5,2633.0,2657.0,26184700,2566.5,2522.85,,,,
2023-09-08 00:00:00+00:00,7203.T,2507.183837890625,2603.0,2645.5,2598.0,2611.0,30458600,2587.4285714285716,2543.65,,,,
2023-09-11 00:00:00+00:00,7203.T,2499.478271484375,2595.0,2618.0,2586.0,2610.5,16439600,2598.8571428571427,2559.5,2476.275,,,
2023-09-12 00:00:00+00:00,7203.T,2559.196044921875,2657.0,2660.0,2619.0,2624.0,21560000,2618.5,2582.05,2488.175,,,
2023-09-13 00:00:00+00:00,7203.T,2607.8369140625,2707.5,2715.0,2651.0,2657.0,29244700,2634.214285714286,2607.15,2505.025,,,
2023-09-14 00:00:00+00:00,7203.T,2646.84619140625,2748.0,2757.0,2694.0,2715.5,31358600,2656.9285714285716,2630.45,2523.575,,,
2023-09-15 00:00:00+00:00,7203.T,2717.640869140625,2821.5,2842.0,2780.5,2788.0,49241800,2681.285714285714,2660.65,2547.2,,,
2023-09-19 00:00:00+00:00,7203.T,2773.9873046875,2880.0,2885.5,2798.0,2806.5,40156000,2716.0,2688.9,2573.375,,,
2023-09-20 00:00:00+00:00,7203.T,2695.968994140625,2799.0,2911.5,2797.0,2900.0,42976800,2744.0,2709.9,2592.5,,,
2023-09-21 00:00:00+00:00,7203.T,2682.9658203125,2785.5,2835.0,2775.0,2799.0,25747000,2771.214285714286,2723.35,2611.25,,,
2023-09-22 00:00:00+00:00,7203.T,2685.85546875,2788.5,2811.0,2735.0,2749.5,28714900,2790.0,2738.5,2630.675,,,
2023-09-25 00:00:00+00:00,7203.T,2659.849365234375,2761.5,2789.0,2740.5,2785.0,21522300,2797.714285714286,2754.35,2649.0,,,
2023-09-26 00:00:00+00:00,7203.T,2616.505615234375,2716.5,2766.5,2707.5,2765.0,26603400,2793.214285714286,2766.5,2663.0,2573.016666666667,,
2023-09-27 00:00:00+00:00,7203.T,2646.84619140625,2748.0,2751.5,2677.0,2700.0,31403100,2782.714285714286,2775.6,2678.825,2583.983333333333,,
2023-09-28 00:00:00+00:00,7203.T,2635.160400390625,2706.0,2746.5,2678.0,2720.0,32137100,2757.8571428571427,2775.45,2691.3,2595.1666666666665,,
